Name	Effect	CI.L	CI.R	AveExpr	P.Value	adj.P.Val
Myo inositol 6TMS; 1	-0.0163	-0.0194	-0.0131	-3.97e-16	2.42e-23	1.82e-21
Ribitol; 71	-0.0152	-0.0184	-0.012	2.09e-15	1.74e-20	6.52e-19
Creatinine; 50	-0.0151	-0.0183	-0.0119	5.88e-16	1.32e-19	3.3e-18
2,4-Dihydroxybutanoic acid; 28	-0.0147	-0.0179	-0.0115	5.76e-16	2.72e-19	5.1e-18
Ribonic acid; 72	-0.0136	-0.0167	-0.0104	-1.27e-15	1.38e-16	2.06e-15
3,4-Dihydroxybutanoic acid; 27	-0.0113	-0.0145	-0.00814	-1.03e-16	5.06e-12	6.32e-11
4-Deoxytetronic acid; 33	-0.0112	-0.0145	-0.00798	-1.16e-15	1.69e-11	1.66e-10
4-Hydroxybenzeneacetic acid; 42	-0.0111	-0.0144	-0.00792	-3.88e-16	1.77e-11	1.66e-10
Isoleucine, 2TMS; 18	0.00974	0.00649	0.013	-2.47e-15	4.82e-09	4.01e-08
4-Deoxytetronic acid; 32	-0.009	-0.0123	-0.00573	-1.02e-15	7.83e-08	5.87e-07
Pyroglutamic acid; 69	-0.00892	-0.0122	-0.00563	-7.23e-17	1.2e-07	8.16e-07
Citric acid, 4TMS; 6	-0.00879	-0.0121	-0.00553	2.8e-15	1.42e-07	8.89e-07
2-Hydroxybutyric acid, 2TMS; 22	0.00792	0.00468	0.0112	-1.91e-15	1.81e-06	1.05e-05
4-Hydroxyphenyllactic acid; 44	-0.0078	-0.0111	-0.00451	7.07e-16	3.56e-06	1.91e-05
Valine, 2TMS; 20	0.0076	0.00437	0.0108	-4.26e-15	4.28e-06	2.14e-05
3-Indoleacetic acid; 40	-0.00748	-0.0108	-0.0042	-1.61e-15	8.23e-06	3.86e-05
Hydroxyproline; 64	-0.00649	-0.00979	-0.00318	7.98e-16	0.000122	0.000517
Glyceryl-glycoside; 59	-0.00645	-0.00974	-0.00316	-4.85e-16	0.000124	0.000517
Leucine, 2TMS; 19	0.00625	0.00298	0.00952	1.61e-15	0.000187	0.000737
Serine, 3TMS; 14	0.00623	0.00293	0.00954	-4.13e-15	0.000224	0.000839
Glycine, 3TMS; 17	-0.0059	-0.00918	-0.00262	-4.62e-15	0.000429	0.00153
Fumaric acid, 2TMS; 9	-0.00583	-0.00913	-0.00252	1.49e-15	0.000556	0.0019
Eicosapentaenoic acid; 55	0.00513	0.00189	0.00837	1.74e-15	0.00193	0.00629
Stearic acid, TMS; 2	0.00499	0.00169	0.0083	-3.73e-15	0.00308	0.00954
Methionine, 2TMS; 16	0.00494	0.00166	0.00823	-5.7e-16	0.00318	0.00954
Malic acid, 3TMS; 11	-0.00429	-0.00759	-0.000985	1.69e-15	0.011	0.0316
Benzeneacetic acid; 47	-0.004	-0.0073	-0.000697	-5.91e-16	0.0176	0.0489
Octanoic acid; 68	0.00384	0.000545	0.00714	-3.24e-15	0.0224	0.0588
Palmitic acid, TMS; 5	0.00382	0.000534	0.00711	-6.22e-15	0.0227	0.0588
Tyrosine; 75	0.00372	0.000414	0.00703	-3.36e-16	0.0275	0.0686
Glycerol; 57	0.00369	0.000365	0.00702	2.7e-16	0.0297	0.0718
Aminomalonic acid; 45	-0.00357	-0.00685	-0.000293	-2.07e-15	0.0328	0.0768
Alanine, 2TMS; 25	-0.00352	-0.00682	-0.000214	2.15e-15	0.0369	0.0839
Cholesterol, TMS; 23	0.00326	7.04e-05	0.00645	-5.41e-17	0.0452	0.0996
2-hydroxy Isovaleric acid; 38	0.00312	-0.000191	0.00643	-3.4e-16	0.0647	0.139
Glycerol; 58	-0.00309	-0.00642	0.000247	-2.46e-16	0.0695	0.145
2-Palmitoylglycerol; 39	0.00303	-0.000289	0.00635	-9.81e-16	0.0735	0.149
Succinic acid, 2TMS; 7	-0.00282	-0.00614	0.000492	1.27e-15	0.0951	0.188
Campesterol; 49	-0.00273	-0.00598	0.000516	-4.24e-16	0.0991	0.188
Glutamic acid, 3TMS; 8	0.00272	-0.000525	0.00597	-1.56e-15	0.1	0.188
Phenylalanine, 2TMS; 13	-0.00239	-0.00571	0.000935	-5.67e-16	0.159	0.291
Docosahexaenoic acid; 53	0.00225	-0.001	0.00551	-2.84e-16	0.175	0.312
Glyceric acid; 30	0.00186	-0.00139	0.00512	2.87e-15	0.261	0.456
alpha-Tocopherol; 26	0.0015	-0.00176	0.00475	1.78e-15	0.367	0.625
Decanoic acid; 52	0.00145	-0.00185	0.00474	1.87e-15	0.389	0.648
Threonine, 3TMS; 12	0.00143	-0.00189	0.00475	-1.68e-15	0.398	0.649
Oleic acid, TMS; 3	0.00134	-0.00196	0.00464	-1.11e-15	0.425	0.678
Ribitol; 70	-0.00124	-0.00454	0.00207	-1.42e-15	0.463	0.724
Bisphenol A; 48	0.00107	-0.00227	0.0044	5.95e-16	0.531	0.788
1,3-Propanediol; 34	0.00103	-0.00229	0.00436	3.28e-16	0.543	0.788
Pyruvic acid; 31	0.000978	-0.00233	0.00429	-3.32e-16	0.562	0.788
Heptadecanoic acid; 60	-0.000965	-0.00428	0.00235	1.97e-15	0.568	0.788
Myristoleic acid; 65	0.000946	-0.00234	0.00423	8e-16	0.572	0.788
3-Indolepropionic acid; 41	0.000944	-0.00235	0.00424	-5.84e-16	0.575	0.788
Nonanoic acid; 67	-0.00094	-0.00427	0.00239	-4e-15	0.58	0.788
11-Eicosenoic acid; 35	-0.000914	-0.00424	0.00241	-7.64e-16	0.589	0.788
1-Monopalmitin; 37	0.000893	-0.00244	0.00422	3.75e-15	0.599	0.788
Tridecanoic acid; 74	-0.000842	-0.00416	0.00247	2.46e-15	0.618	0.8
Hydroxylamine; 62	-0.000779	-0.0041	0.00255	-1.41e-15	0.646	0.821
Ethanolamine; 56	0.00074	-0.00258	0.00406	-1.73e-15	0.662	0.827
Linoleic acid, TMS; 4	0.000627	-0.00267	0.00393	-2.65e-15	0.71	0.872
alpha-ketoglutaric acid, TMS MeOX; 15	0.000574	-0.00274	0.00389	1.01e-15	0.734	0.888
Heptadecanoic acid; 61	-0.000497	-0.00381	0.00282	4.88e-15	0.769	0.908
L-5-Oxoproline; 63	0.000484	-0.00283	0.0038	-8.38e-16	0.774	0.908
Arabinopyranose; 51	0.000361	-0.00294	0.00366	1.11e-15	0.83	0.933
Lactic acid; 29	0.000358	-0.00295	0.00366	-2.79e-15	0.832	0.933
Tartronic acid; 73	0.000304	-0.00297	0.00358	-9.72e-16	0.855	0.933
Arachidic acid; 46	0.000306	-0.00301	0.00362	-4.13e-15	0.856	0.933
Proline, 2TMS; 21	0.000287	-0.00299	0.00357	-1.04e-15	0.864	0.933
Arachidonic acid, TMS; 24	0.000276	-0.00304	0.00359	1.11e-15	0.87	0.933
4-Hydroxybutanoic acid; 43	0.000225	-0.0031	0.00354	-2.64e-15	0.894	0.945
Dodecanoic acid; 54	0.000159	-0.00314	0.00346	-1.82e-15	0.925	0.952
Nonadecanoic acid; 66	0.000152	-0.00316	0.00347	1.32e-15	0.928	0.952
1-Dodecanol; 36	-0.00013	-0.00346	0.0032	-6.95e-16	0.939	0.952
3-Hydroxybutyric acid, 2TMS; 10	3.68e-05	-0.0033	0.00337	-2.02e-15	0.983	0.983
